,paragraph_number,paragraph
1898,1899,"In other words, we want w to be sparse, which implies that we only need to measure the features corresponding to nonzero elements of w. where k1 is a parameter. Since the ℓ1 norm is a convex function, this problem can be solved eﬃciently as long as the loss function is convex. A related problem is minimizing the sum of LS(w) plus an ℓ1 norm regularization term,"
1899,1900,Feature Selection and Generation are in some sense equivalent.
1900,1901,"The ℓ1 regularization often induces sparse solutions. To illustrate this, let us start with the simple optimization problem thresholding” operator w = sign(x) [|x| −λ]+ ,"
1901,1902,"Next, consider a one dimensional regression problem with respect to the squared"
1902,1903,We can rewrite the problem as
1903,1904,"For simplicity let us assume that then the optimal solution is w = sign(⟨x, y⟩) [|⟨x, y⟩|/m −λ]+ ."
1904,1905,"That is, the solution will be zero unless the correlation between the feature x"
1905,1906,"Unlike the ℓ1 norm, the ℓ2 norm does not induce sparse solutions."
1906,1907,"Indeed, consider the problem above with an ℓ2 regularization, namely,"
1907,1908,"Then, the optimal solution is"
1908,1909,This solution will be nonzero even if the correlation between x and y is very small.
1909,1910,"In contrast, as we have shown before, when using ℓ1 regularization, w will be nonzero only if the correlation between x and y is larger than the regularization"
1910,1911,"Adding ℓ1 regularization to a linear regression problem with the squared loss yields the LASSO algorithm, deﬁned as"
1911,1912,Under some assumptions on the distribution and the regularization parameter and the references therein). Another advantage of the ℓ1 norm is that a vector
1912,1913,Feature Manipulation and Normalization
1913,1914,"Feature manipulations or normalization include simple transformations that we apply on each of our original features. Such transformations may decrease the approximation or estimation errors of our hypothesis class or can yield a faster algorithm. Similarly to the problem of feature selection, here again there are no absolute “good” and “bad” transformations, but rather each transformation that we apply should be related to the learning algorithm we are going to apply on the resulting feature vector as well as to our prior assumptions on the problem."
1914,1915,"To motivate normalization, consider a linear regression problem with the"
1915,1916,"The crux of the preceding example is that the two features have completely diﬀerent scales. Feature normalization can overcome this problem. There are many ways to perform feature normalization, and one of the simplest approaches the preceding example, if we divide each feature by the maximal value it attains"
1916,1917,Feature Selection and Generation ridge regression is quite close to w⋆. ularized loss minimization depend on the norm of the optimal vector w⋆and the instance vector remains roughly the same; hence the normalization greatly improves the estimation error.
1917,1918,"Feature normalization can also improve the runtime of the learning algorithm. tion problem. The number of iterations required by SGD to converge also depends on the norm of w⋆and on the maximal norm of ∥x∥. Therefore, as before, using normalization can greatly decrease the runtime of SGD."
1918,1919,"Next, we demonstrate in the following how a simple transformation on features, a large number, suppose that the target y is chosen uniformly at random from bounded but with a very small probability it gets a very high value. Then, for any w, the expected squared loss of w is"
1919,1920,Solving for w we obtain that w⋆= ample shows that a simple transformation can have a signiﬁcant inﬂuence on the approximation error. formation actually hurts performance and increases the approximation error.
1920,1921,"This is not surprising, as we have already argued that feature transformations"
1921,1922,"For linear predictors and loss functions of the form ℓ(w, (x, y)) = φ(⟨w, x⟩, y), where φ is ample, a prior assumption that may lead us to use the “clipping” transformation is that features that get values larger than a predeﬁned threshold value give us no additional useful information, and therefore we can clip them to the predeﬁned"
1922,1923,Examples of Feature Transformations
1923,1924,"We now list several common techniques for feature transformations. Usually, it is helpful to combine some of these transformations (e.g., centering + scaling)."
1924,1925,"In the following, we denote by f = (f1, . . . , fm) ∈Rm the value of the feature f over the m training examples. Also, we denote by ¯f = mean of the feature over all examples."
1925,1926,"This transformation makes the feature have zero mean, by setting fi ←fi −¯f. fmax = maxi fi and fmin = mini fi. Then, we set fi ← fmax−fmin . Similarly,"
1926,1927,This transformation makes all features have a zero mean and unit variance.
